"INV_REF","CLUST_ID","PLOT_ID","Ecoregion","DATE","LAT","LON","ACDobs","SaatchiOrig1km","Saatchi1km","BacciniOrig500m","Baccini1km","ELEV","EVI","VCF","TEMP","TSEAS","PRECIP"
"JariAla (DGF/USAID)","2-23-GII","2-23C-GII","moist","08.2007",-20.4955555555556,47.5355555555556,127.5,135.723983764648,101,133.95,141.47,1316,0.389207452535629,66.6666666666667,172,2613,1623
"JariAla (DGF/USAID)","2-23-GIII","2-23C-GIII","moist","08.2007",-20.5002499999933,47.5106944444444,39.1,90.9430313110352,84,96.82,125.02,1236,0.39763347307841,42.6666666666667,176,2581,1657
"JariAla (DGF/USAID)","2-24-GI","2-24A-GI","moist","08.2007",-20.3411944442333,47.6961388884639,42,101.454078674316,101,125.96,120.32,1342,0.390668878952662,73,169,2637,1655
"JariAla (DGF/USAID)","2-24-GII","2-24A-GII","moist","08.2007",-20.4961111111111,47.5188888888889,84.1,90.9430313110352,99,132.07,102.93,1303,0.385294198989868,64,174,2598,1636
"JariAla (DGF/USAID)","2-24-GIII","2-24A-GIII","moist","08.2007",-20.5002499999933,47.5301111115361,61.4,135.723983764648,116,139.59,136.77,1323,0.383976807196935,69,172,2613,1622
"JariAla (DGF/USAID)","2-24-GI","2-24B-GI","moist","08.2007",-20.3421111112167,47.6961388884639,34.2,101.454078674316,101,125.96,131.13,1362,0.390668878952662,73.3333333333333,172,2626,1676
"JariAla (DGF/USAID)","2-24-GII","2-24B-GII","moist","08.2007",-20.4961111111111,47.5188888888889,60.3,90.9430313110352,99,132.07,102.93,1303,0.385294198989868,64,174,2598,1636
"JariAla (DGF/USAID)","2-24-GIII","2-24B-GIII","moist","08.2007",-20.5002499999933,47.5301111115361,75.1,135.723983764648,116,139.59,136.77,1323,0.383976807196935,69,172,2613,1622
"JariAla (DGF/USAID)","2-24-GI","2-24C-GI","moist","08.2007",-20.3416666666667,47.6952777777778,52.8,101.454078674316,116,125.96,130.19,1362,0.390668878952662,73,169,2637,1655
"JariAla (DGF/USAID)","2-24-GII","2-24C-GII","moist","08.2007",-20.4961111111111,47.5188888888889,44.3,90.9430313110352,99,132.07,102.93,1303,0.385294198989868,64,174,2598,1636
"JariAla (DGF/USAID)","2-24-GIII","2-24C-GIII","moist","08.2007",-20.5002499999933,47.5301111115361,126.5,135.723983764648,116,139.59,136.77,1323,0.383976807196935,69,172,2613,1622
"JariAla (DGF/USAID)","2-25-GI","2-25A-GI","moist","08.2007",-20.3416388887833,47.6775555557667,57.3,75.9166107177734,88,119.85,122.2,1476,0.361202041308085,23,165,2598,1612
"JariAla (DGF/USAID)","2-25-GII","2-25A-GII","moist","08.2007",-20.4961111111111,47.5069444444444,84.2,85.4669494628906,68,89.77,91.18,1231,0.425685902436574,35.3333333333333,176,2580,1648
"JariAla (DGF/USAID)","2-25-GIII","2-25A-GIII","moist","08.2007",-20.5002499999933,47.5492777782028,110.8,103.485290527344,103,127.37,127.84,1261,0.392835905154546,74.3333333333333,175,2615,1666
"JariAla (DGF/USAID)","2-25-GI","2-25B-GI","moist","08.2007",-20.3416388887833,47.6766111109,51.3,75.9166107177734,88,81.31,122.2,1473,0.346151183048884,23,165,2598,1612
"JariAla (DGF/USAID)","2-25-GII","2-25B-GII","moist","08.2007",-20.4961111111111,47.5069444444444,91.9,85.4669494628906,68,89.77,91.18,1231,0.425685902436574,35.3333333333333,176,2580,1648
"JariAla (DGF/USAID)","2-25-GIII","2-25B-GIII","moist","08.2007",-20.5002499999933,47.5492777782028,220.8,103.485290527344,103,127.37,127.84,1261,0.392835905154546,74.3333333333333,175,2615,1666
"JariAla (DGF/USAID)","2-25-GI","2-25C-GI","moist","08.2007",-20.3408888891,47.6770833333333,67.9,75.9166107177734,88,81.31,122.2,1473,0.361202041308085,23,165,2598,1612
"JariAla (DGF/USAID)","2-25-GII","2-25C-GII","moist","08.2007",-20.4961111111111,47.5069444444444,72.8,85.4669494628906,68,89.77,91.18,1231,0.425685902436574,35.3333333333333,176,2580,1648
"JariAla (DGF/USAID)","2-25-GIII","2-25C-GIII","moist","08.2007",-20.5002499999933,47.5492777782028,140.7,103.485290527344,103,127.37,127.84,1261,0.392835905154546,74.3333333333333,175,2615,1666
"JariAla (DGF/USAID)","2-26-GI","2-26A-GI","moist","08.2007",-20.2964166662417,47.6770833333333,45.1,45.65478515625,58,141.47,140.53,1491,0.403375287850698,62,164,2605,1597
"JariAla (DGF/USAID)","2-26-GII","2-26A-GII","moist","08.2007",-20.4519444444444,47.5361111111111,84.7,50.7711296081543,51,52.17,71.91,1360,0.358864357074102,21.6666666666667,169,2604,1592
"JariAla (DGF/USAID)","2-26-GIII","2-26A-GIII","moist","08.2007",-20.5002499999933,47.5684722222222,145.6,144.674896240234,139,57.34,52.64,917,0.454352170228958,60.3333333333333,198,2531,1941
"JariAla (DGF/USAID)","2-26-GI","2-26B-GI","moist","08.2007",-20.2973055553444,47.6770833333333,60.9,45.65478515625,51,141.47,142.41,1491,0.403375287850698,61.6666666666667,164,2605,1597
"JariAla (DGF/USAID)","2-26-GII","2-26B-GII","moist","08.2007",-20.4519444444444,47.5361111111111,122.1,50.7711296081543,51,52.17,71.91,1360,0.358864357074102,21.6666666666667,169,2604,1592
"JariAla (DGF/USAID)","2-26-GIII","2-26B-GIII","moist","08.2007",-20.5002499999933,47.5684722222222,266.7,144.674896240234,139,57.34,52.64,917,0.454352170228958,60.3333333333333,198,2531,1941
"JariAla (DGF/USAID)","2-26-GI","2-26C-GI","moist","08.2007",-20.2968611113222,47.67625,56.1,45.65478515625,51,106.69,142.41,1495,0.403375287850698,61.6666666666667,164,2605,1597
"JariAla (DGF/USAID)","2-26-GII","2-26C-GII","moist","08.2007",-20.4519444444444,47.5361111111111,112.6,50.7711296081543,51,52.17,71.91,1360,0.358864357074102,21.6666666666667,169,2604,1592
"JariAla (DGF/USAID)","2-26-GIII","2-26C-GIII","moist","08.2007",-20.5002499999933,47.5684722222222,291.4,144.674896240234,139,57.34,52.64,917,0.454352170228958,60.3333333333333,198,2531,1941
"JariAla (DGF/USAID)","2-27-GI","2-27A-GI","moist","08.2007",-20.2968611113222,47.6585277779889,25.6,33.814079284668,28,40.89,62.04,1487,0.275517781575521,14.3333333333333,163,2601,1582
"JariAla (DGF/USAID)","2-27-GII","2-27A-GII","moist","08.2007",-20.4536111111111,47.5563888888889,136.3,100.88501739502,103,132.07,130.19,1374,0.373948564132055,21.6666666666667,169,2591,1601
"JariAla (DGF/USAID)","2-27-GI","2-27B-GI","moist","08.2007",-20.2968611113222,47.6575833331222,29.9,33.814079284668,28,40.89,62.04,1486,0.265780826409658,14.3333333333333,165,2594,1590
"JariAla (DGF/USAID)","2-27-GII","2-27B-GII","moist","08.2007",-20.4536111111111,47.5563888888889,131.3,100.88501739502,103,132.07,130.19,1374,0.373948564132055,21.6666666666667,169,2591,1601
"JariAla (DGF/USAID)","2-27-GI","2-27C-GI","moist","08.2007",-20.2976388888889,47.6580555555556,36.4,33.814079284668,37,40.89,40.42,1469,0.275517781575521,15,165,2594,1590
"JariAla (DGF/USAID)","2-27-GII","2-27C-GII","moist","08.2007",-20.4536111111111,47.5563888888889,143,100.88501739502,103,132.07,130.19,1374,0.373948564132055,21.6666666666667,169,2591,1601
"JariAla (DGF/USAID)","2-28-GI","2-28A-GI","moist","08.2007",-20.3418888886778,47.6580555555556,48.7,125.367980957031,93,72.38,71.44,1475,0.309299737215042,13.3333333333333,164,2613,1596
"JariAla (DGF/USAID)","2-28-GII","2-28A-GII","moist","08.2007",-20.4544444444444,47.5811111111111,92.8,133.646697998047,136,88.36,86.01,1243,0.377727806568146,51.3333333333333,174,2603,1661
"JariAla (DGF/USAID)","2-28-GI","2-28B-GI","moist","08.2007",-20.3409722222222,47.6580555555556,52.1,125.367980957031,93,72.38,71.44,1492,0.298817197481791,13.3333333333333,163,2632,1586
"JariAla (DGF/USAID)","2-28-GII","2-28B-GII","moist","08.2007",-20.4544444444444,47.5811111111111,143.2,133.646697998047,136,88.36,86.01,1243,0.377727806568146,51.3333333333333,174,2603,1661
"JariAla (DGF/USAID)","2-28-GI","2-28C-GI","moist","08.2007",-20.3414166667722,47.6572222222222,78.7,125.367980957031,58,72.38,47,1482,0.309299737215042,13.3333333333333,163,2632,1586
"JariAla (DGF/USAID)","2-28-GII","2-28C-GII","moist","08.2007",-20.4544444444444,47.5811111111111,138.2,133.646697998047,136,88.36,86.01,1243,0.377727806568146,51.3333333333333,174,2603,1661
"JariAla (DGF/USAID)","2-29-GI","2-29A-GI","moist","08.2007",-20.3409722222222,47.6389166667722,59,50.3019905090332,59,101.52,84.6,1445,0.328470547993978,44.3333333333333,166,2607,1594
"JariAla (DGF/USAID)","2-29-GII","2-29A-GII","moist","08.2007",-20.4544444444444,47.6033333333333,120.2,108.842803955078,125,147.58,78.02,1234,0.419394195079803,70,175,2596,1693
"JariAla (DGF/USAID)","2-29-GI","2-29B-GI","moist","08.2007",-20.3418888886778,47.6389166667722,63.8,50.3019905090332,59,101.52,84.6,1440,0.36502464612325,44.3333333333333,166,2600,1600
"JariAla (DGF/USAID)","2-29-GII","2-29B-GII","moist","08.2007",-20.4544444444444,47.6033333333333,119.1,108.842803955078,125,147.58,78.02,1234,0.419394195079803,70,175,2596,1693
"JariAla (DGF/USAID)","2-29-GI","2-29C-GI","moist","08.2007",-20.3414166667722,47.6380833334389,79.2,50.3019905090332,51,101.52,86.48,1434,0.398927539587021,36,166,2607,1594
"JariAla (DGF/USAID)","2-29-GII","2-29C-GII","moist","08.2007",-20.4544444444444,47.6033333333333,118.8,108.842803955078,125,147.58,78.02,1234,0.419394195079803,70,175,2596,1693
"JariAla (DGF/USAID)","2-30-GI","2-30A-GI","moist","08.2007",-20.3409722222222,47.6197500001056,55.2,39.9587020874023,44,92.12,93.06,1508,0.390723198652267,60,164,2598,1574
"JariAla (DGF/USAID)","2-30-GII","2-30A-GII","moist","08.2007",-20.4547222222222,47.6211111111111,201.3,141.832092285156,138,62.04,75.2,1059,0.442604353030523,33.6666666666667,184,2557,1797
"JariAla (DGF/USAID)","2-30-GI","2-30B-GI","moist","08.2007",-20.3418888886778,47.6197500001056,81.9,39.9587020874023,44,92.12,93.06,1499,0.385813037554423,60,167,2614,1594
"JariAla (DGF/USAID)","2-30-GII","2-30B-GII","moist","08.2007",-20.4547222222222,47.6211111111111,174.8,141.832092285156,138,62.04,75.2,1059,0.442604353030523,33.6666666666667,184,2557,1797
"JariAla (DGF/USAID)","2-30-GI","2-30C-GI","moist","08.2007",-20.3414166667722,47.6188888888889,59.6,39.9587020874023,42,87.42,97.76,1490,0.390723198652267,59.6666666666667,164,2598,1574
"JariAla (DGF/USAID)","2-30-GII","2-30C-GII","moist","08.2007",-20.4547222222222,47.6211111111111,202.8,141.832092285156,138,62.04,75.2,1059,0.442604353030523,33.6666666666667,184,2557,1797
